id,ref,alt._#,exc,garden_#_(PPM),peristyle_type,garden_size,peristyle_size,property_size,percent_of_property,shape,peristyle_proportion,orientation_of_peristyle,alignment_with_atrium,direction_from_atrium,peristyle_direction_from_main_entrance,peristyle_direction_from_2nd_entrance,atria,atrium_column_style,tablinum,tablinum_type,access_to_garden...23,pluteus,pluteus_height,pluteus_width,pluteus_description,pluteus_decoration,fence,fence_height,order,walkways,walkway_sides...33,walkway_width_min,walkway_width_max...35,narrowest_walkway_dir,widest_walkway_dir,portico_sides...38,columns,pillars,total_frstdng_supports,engaged,column_material,bases,main_shaft_decoration,lower_shaft_decoration,lower_decoration_height,lower_decoration_proportion,pillar_surface_treatment,column_diameter,column_height,proportion,walkway_width_max...53,avg_intercolumniation,intercolumniation_range,intercolumniation_deviation,ratio_diam_to_intercolumniation,decoration,painting_style...59,pavement,furniture,table_(Moss/_Cohon),table_position...63,sculpture,oscillae,water...66,dining,other_features,cisterns,other_finds,other_gardens...71,visible_from_entrance?,visible_from_atrium?,orientation,private_bath,plants...76,atrium_direction...77,largest_room_direction...78,notes...79,water...80,pools...81,pool_surface,pool_position...83,pool_depth,fountain_in_pool,channel_material,channel_type,channel_width,channel_sides,fountains...90,date_(Richardson),entrance_from_street?,lararium_(Boyce/Orr)...93,upper_story,large_room_on_axis?,...96,...97,connection_to_water_supply,rooms_accessed...99,#_areas_accessed,lararium_(Boyce),altar...102,aedicula,simple_niche,sacellum...105,walkway_notes,pools...107,pool_position...108,rectangular,rect_with_exedra,square,apsidal,circular,semicircular,other,painting_style...116,garden_painting,myth_painting,landscape,animal_painting,other_painting,access_to_garden...122,atrium_direction...123,largest_room_direction...124,other_gardens...125,connection_to_water,building_type,rooms_accessed...128,stairs/_corridors_accessed,total_areas_accessed,visited?,measured?,entrance_photo?,walkway_sides...134,portico_sides...135,walkway_N,walkway_S,walkway_E,walkway_W,portico_N,portico_S,portico_E,portico_W,shrine_direction,aedicula_(on_axis),niche_w/_aedicula,niche,altar...148,painting,sacellum...150,lararium_(Boyce/Orr)...151,tables,cupboards,triclinia_(masonry),triclinia_(wood),seating,1_support_table,2_support_table,3_support_table,4_support_table,notes...161,table_position...162,table_function,fountains...164,pools...165,plants...166,cavities,planters_/boxes,vines,furrows_/beds,unspecified,brick_supports,opus_mixtum_supports,masonry_supports,stone_supports,stone_blocks
VI.14.25_house,Mau BdI 1876:46; Viola 23; Nicc 4:ns 6,NA,1875,f,truncated,NA,30,175,0.17142857142857143,NA,NA,square,square,W,W,NA,1 irregular,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,NA,unknown,1,1 (N),NA,NA,NA,NA,1 (N),1,0,1,NA,unknown,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,covered in stucco (Mau BdI 1876:46),square?,NA,"3 (N, E, W)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room b,NA,E,no,NA,res?,5,NA,5,no,no,no,1 (N),1 (N),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?plaster,?plaster,?plaster,?plaster,?plaster
VI.14.38_House of C. Poppaeus Firmus,"Fiorelli NSc 1876:192-3; Mau BdI 1878: 86, 110, 112-13, 116; Boyce 53",NA,NA,k,truncated,NA,160,480,0.3333333333333333,NA,NA,square,square,E,E,NA,1 tuscan,NA,yes,open,NA,no,NA,NA,NA,NA,NA,NA,unknown,3,"3 (N, S, W)",NA,NA,NA,NA,"3 (N, S, W)","9, 2 of these reinforced by pillars",2 (attached to 2 columns),9,"1 (SE, embedded in wall)",masonry,NA,"red to 1.5, topped with a green band (Mau BdI 1878:116)",NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd style--low black dado with alternating black and red panels above; upper zone undecorated (Mau BdI 1878:115-16),3rd,NA,The,NA,NA,NA,NA,NA,NA,arched niche SW,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,damaged by bombing; originally 4-sided but changed to add rooms at E; column across from tab removed to improve view (Mau BdI 1878:110); size 200 (16.58 x 12.18-Mau BdI 1878:112),NA,NA,NA,NA,NA,NA,NA,rounded corners,NA,4 (interrupted on E),NA,NA,NA,"niche, arched, in SW corner (205)",NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd,NA,NA,NA,NA,NA,tablinum h or corridor i,W,"E, W",no,NA,res,5,NA,5,no,no,yes,"3 (N, S, W)","3 (N, S, W)",1,1,NA,1,1,1,NA,1,SW,NA,NA,SW,NA,NA,NA,"niche, arched, in SW corner (205, Gb V55)",1,NA,NA,NA,NA,NA,1,NA,NA,2 marble supports for a table; monopodium without basin,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,brick and plaster,brick and plaster,brick and plaster,brick and plaster
VI.14.39_House of Axius,"Fiorelli NSc 1876:147; Mau BdI 1878:86-87, 91",NA,NA,i,truncated,NA,20,225,0.08888888888888889,rect,NA,square,square,E,E,NA,1 tuscan,NA,yes,wide door,NA,no,NA,NA,NA,NA,NA,NA,unknown,1,1 (N; roofed stairs at E),NA,NA,NA,NA,1 (N),2,0,2,"3 (1 W, 2 supporting E walkway?)",brick,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,no,NA,NA,none reported,NA,NA,terracotta puteal; circular basin of grey marble on cipollino base and white marble plinth (Mau BdI 1878:91),NA,none reported,NA,yes,yes,NA,NA,NA,NA,NA,destroyed by bombing; used as woodworker's workshop? (Mau BdI 1878:96),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes? (loggia),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"corridor f from atrium, room h from tablinum",W,E/W,no,NA,res/ind,"1 room, 1 loggia, 2 rooms at lower level",NA,4,no,no,yes,1 (N; roofed stairs at E),1 (N),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,brick,brick,brick,brick
VI.14.40_house,Fiorelli NSc 1876:146; Mau BdI 1877:212-13,NA,NA,h/i,truncated,NA,90,370,0.24324324324324326,NA,NA,E-W,aligned,E,E,NA,1 tuscan,NA,yes,very wide door,NA,no,NA,NA,NA,NA,NA,NA,Doric,2,"2 (N, W)",NA,NA,NA,NA,1 (W),2,0,2,0,rubble masonry and plaster,NA,"unfluted; yellow to 1.86, red above",NA,1.86,0.54,NA,53,3.44,6.49,NA,NA,NA,NA,NA,4th,4th,NA,NA,no,NA,boy holding a dog and feeding it bread (MN 120 511),NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rounded corners?,NA,"3 (, N, S, W)",NA,NA,NA,painting on S side near kitchen (208),NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th,NA,NA,NA,NA,NA,tablinum f or corridor g,W,N,no,NA,res,7,NA,7,no,no,"2015, 2013","3 (N, S, W)",1 (W),1,1,NA,1,NA,NA,NA,1,S,NA,NA,NA,NA,S,NA,"painting on S side near kitchen (208, Gb62)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"brick and plaster, some opus vittatum,  stone capitals","brick and plaster, some opus vittatum,  stone capitals","brick and plaster, some opus vittatum,  stone capitals","brick and plaster, some opus vittatum,  stone capitals"
VI.14.43_House of the Scientists,"PAH 2:370, 3:152; BdI 1841:113-14; BAN 2(1845):5-6; Spano NSc 1910:255; Boyce 54; Jash 1:41-2, 129",VI.14.a (Fiorelli Desc),1839,14,truncated,NA,165,610,0.27049180327868855,NA,NA,N-S,aligned,E,E,NA,1 tuscan,NA,yes,narrow door,NA,yes,NA,NA,NA,NA,NA,NA,Ionic,2,"2 (N, W)",NA,NA,NA,NA,"2 (N, W)",4,0,4,NA,"2 tufa and plaster, 2 brick and plaster",yes,fluted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st style in garden area (Laidlaw 1985, 228-30); garden painting (4th style) on N side of fountain",1st,cocciopesto with random colored chips,NA,no,NA,"statue of Mars in fountain (MN 126 249), mosaiced mask of a woman as a fountain spout",NA,"mosaic aedicula fountain, mask of woman as water spout; pool with jet in center",NA,lararium niche N; two basins/puteals built into to pluteus,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,1 rectangle (1.15 x .83) Jash 2:152,0.95,NA,20 cm,yes,coccio,rounded corners (N)?,NA,4,NA,NA,NA,"niche, rect, N (209)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st,yes (N side of aedicula),NA,NA,NA,NA,tablinum 7 or corridor 12,W,N,no,yes,res,"5 rooms, 1 corridor",1,6,no,no,yes,"2 (N, W)","2 (N, W)",1,NA,NA,1,1,NA,NA,1,N2,NA,NA,N,NA,N,NA,"niche, rect, and painting N (209, Gb V56)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aedicula fountain, mask of woman as water spout; pool with jet in center",1 rectangle (1.15 x .83) Jash 2:152,NA,NA,NA,NA,NA,NA,brick?,brick?,brick?,brick?,brick?
VI.15.01_House of the Vettii,Mau RM 1896:89; Sogliano Scavi 328,NA,NA,s,truncated,10,50,1165,0.04291845493562232,rect,NA,N-S,non-standard,W,W,NA,1 tuscan,NA,no,NA,NA,yes,62,NA,NA,y-red with plants (garden side),NA,NA,NA,3,"3 (N, S, E)",NA,NA,NA,NA,"3 (N, S, E)",0,5,5,2 (W),brick,no,NA,NA,NA,NA,encased in wood to create pillars,NA,NA,NA,NA,NA,NA,NA,NA,"4th style walkway, garden undecorated, spur walls with garden painting",4th,cocciopesto,NA,no,NA,NA,none reported,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,"columns converted to pillars by wood casing; column measurement w/o plaster --21 diam, 2.6 H",NA,NA,NA,NA,NA,NA,coccio and cement,"round NE, others square",NA,4,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th,yes (spur walls W),NA,NA,NA,NA,peristyle l/m,SE,E,1 true,none,res,2,NA,2,no,no,yes,"3 (N, S, E)","3 (N, S, E)",1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,? masonry and plaster?,? masonry and plaster?,? masonry and plaster?,? masonry and plaster?,? masonry and plaster?
VI.15.01_House of the Vettii*,NA,NA,NA,l/m,tru,NA,500,1165,43,NA,1.6,N-S,perp,W,W,NA,2 Tuscan,NA,no,NA,"direct from atrium, wide door and two narrow doors (0)",no,NA,NA,NA,NA,NA,NA,Corinthian,NA,NA,NA,NA,"E, W",NA,NA,18,NA,18,NA,brick/rubble and stucco,yes,fully fluted,NA,NA,NA,NA,81 cm at base,4.5,5.6:1,NA,NA,2.5,NA,NA,4th style,4th,lavapesta (Allison),3 tables,"A352, C67 tripod in E portico (329, 756-8); monopod in W portico (322, 684-5)",NA,"yes-14 sculptures, 2 in bronze",NA,14 fountains,NA,NA,puteal,NA,truncated peristyle,yes,yes,perpendicular,no,arranged in beds symmetrically,east,north,NA,14 fountains,"1 square, very shallow",NA,south,NA,yes,coccio,corners rounded,0.55000000000000004,NA,yes,NA,no,no,NA,no,peristyle 17.8 by 28,NA,yes,7,7,no,NA,NA,NA,NA,NA,"1 square, very shallow",south,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VI.15.05_House of M. Pupius Rufus,"NSc 1895:438-9, 1896:167-8, 1897:14, 23-7; Mau RM 1898:17-20, pl 1-2; Sogliano Scavi 334; Dwyer Oscilla 279-80",VI.15.5 Sogliano,1895-6,s/t/u,truncated,NA,235,595,0.3949579831932773,NA,NA,N-S,perp,W,W,NA,1 tuscan,NA,yes,wide door,NA,yes,40,NA,NA,y-black on garden side,NA,NA,unknown (Doric?),3,"3 (N, S, E)",NA,NA,NA,NA,"3 (N, S, E)",6,1,7,"3 (N, attached to pillar and spur wall)",brick and plaster,no,"fluted above, smooth and red below",NA,1.44,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,4th style N (Mau RM 1898:14); original 2nd style decoration visible in upper zone,4th,cocciopesto? (PPM 5:607) white pebbles? (Mau RM 1898:14) perhaps means calcestruzzo?,2 marble monopodium tables,marble table to right of entrance (A344),along main axis,"marble fountain statuette of nymph (MN 124 841); terracotta drunk old woman (124 844); terracotta Moor on elephant (124 845); two Bacchic masks (124 906, 124 917); 3 bronze animal fountains (124 912, 124 913, 124 8570); Perona and Micone (MN 124846--PiP)",2 Bacchic mask (Dwyer 279-80 cat 92-3),"aedicula fountain W (unfinished) w/fountain sculpture; marble support with hole for jet in center of garden; 3 bronze animal fountains (serpent, lion, hare), two of which stood on square masonry bases across from tablinum on axis",NA,"4 slender, green, octagonal columns for supporting pergola (originally covering triclinium that was removed--NSc 1897:22); travertine puteal",NA,green-glazed terracotta vases in animal shapes; amphorae,NA,yes,yes,NA,NA,NA,NA,NA,north portico 50 cm higher than others; garden incomplete at time of eruption. All but one column were new and without stucco (Mau RM 1898:14) and the aedicula fountain was incomplete,NA,NA,NA,NA,NA,NA,masonry with red stucco,"square, very wide",NA,"2 (S, E)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th,NA,NA,NA,NA,NA,tablinum I or room k,E,E,no,NA,res,3?,NA,3,2017,2017,yes,"3 (N, S, E)","3 (N, S, E)",1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,destroyed in renovation (Sop 309),NA,NA,2,NA,NA,NA,NA,garden center-along axis A344; amb N of entrance,NA,"aedicula fountain W (unfinished) w/fountain sculpture; marble support with hole for jet in center of garden; 3 bronze animal fountains (serpent, lion, hare), two of which stood on square masonry bases across from tablinum on axis",NA,NA,NA,NA,NA,NA,NA,?stone?,?stone?,?stone?,?stone?,?stone?
VI.15.08_House of the Prince of Naples,"Sogliano NSc 1896:475, 1897:14, 35, 342; Mau RM 1898:36-7, pl 1-2",VI.15.8/9 Sogliano,NA,l/n,truncated,52,75,260,0.28846153846153844,rectangle,NA,E-W,non-standard,S,not visible,W,1 Tuscan,NA,"yes, irregular",other,NA,"yes, 84 cm high, rounded top, painted red",84,NA,NA,y-red ground,NA,NA,Doric,1,1 (E),NA,NA,NA,NA,1 (E),2,0,2,2,brick and plaster,no,"unfluted; yellow upper, red to 1.08",NA,1.08,0.34,NA,42,3.18,7.6,NA,NA,NA,NA,NA,"east wall simple early 4th style on white ground, other walls illegible",early 4th,cocciopesto,marble table with support in form of Silenus holding infant Bacchus terminating in lion's paw (jash),A139 (500-3) inv. 406-4 (1109); Coh 61; Sogliano NSc 1896 475,center of garden (Moss 523),NA,NA,wide channel on east side (.94),NA,terracotta puteal; shrine/lararium on west wall,NA,"bronze bucket, 2 pans, lid, and 2 cauldron handles; amphora (NSc 1896 532-3); in garden, bronze vase, handle, other objects; amphora (NSc 1896:534)",NA,no,yes,NA,NA,NA,NA,NA,two columns embedded into wall of room m; diagram with view of lararium in Strocka 1984:32 fig 42,NA,NA,NA,NA,NA,MA,coccio,straight,NA,1 (E),NA,NA,NA,aedicula on high podium at W (214),NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,early 4th,NA,NA,NA,NA,NA,atrium d,N,E,no,NA,res,3,NA,3,2011,2011,yes,1 (E),1 (E),NA,NA,1,NA,NA,NA,1,NA,W,W (no),NA,NA,NA,NA,NA,"aedicula on high podium at W (214, Gb V57)",1,NA,NA,NA,NA,1,NA,NA,NA,A139 (500-3) Pomp inv. 406-4 (1109); Coh 61; Sogliano NSc 1896 475,garden: center (Moss 523),altar?,NA,NA,NA,NA,NA,NA,NA,NA,?stucco,?stucco,?stucco,?stucco,?stucco
VI.15.23_house,NA,NA,NA,a/b,tru,NA,190,415,46,NA,1.2,E-W,NA,NA,E,NA,0,NA,NA,NA,direct from street (0),"yes, 40 cm high",40,NA,"rubble with light colored stucco (undecorated?), columns project slightly, added after columns",undecorated? unknown (light ground),NA,NA,Doric?,4,"N, S, E, W",2.6,3.7,W,E,NA,11,NA,11,NA,brick with plaster,no,none,NA,NA,NA,NA,41,unknown,unknown,3.7 (east),2.2,2-2.4,?,5.37,4th style (PPM 5:703-4),4th,?,"travertine podium, perhaps for table; chest",?podium for table? ->,NA,none reported,NA,cocciopesto channel,NA,low masonry platform along west wall,yes? (plan),box containing many small objects in south portico; bronze scale; iron tripod,no,yes,NA,NA,no,NA,NA,east,poorly preserved,cocciopesto channel,none extant,NA,NA,NA,NA,coccio,"platforms round, coccio (1 extant)",?,NA,no,NA,"yes, main entrance",no,NA,yes,NA,NA,yes,13 (all),13,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VI.16.07_House of the Golden Cupids,NSc 1907 588,NA,NA,F,tru,NA,340,770,44,NA,1.31,E-W,aligned,W,W,NA,1 tuscan,NA,no,NA,"direct from atrium, slightly off axis (0)","no, cut for fence",NA,NA,NA,NA,yes,90,"Doric, Corinthian piers",4,"N, S, E, W",2.5,3.5,"N, E",W,NA,15,2,17,NA,NA,no,fluted above; Corinthian cable fluted,smooth and red or yellow,NA,NA,NA,46,2.82,6.3:1,3.5 (west),2.2,"2.2 E, variety elsewhere",1.46,4.78,4th style,4th,lavapesta with white chips; west more elaborate design of white tesserae in coccio,3 table bases,"2 table bases in form of club (Powers 208, 210-1); A237 herm bust table base; D11 table in form of club, found in room D; Coh. 176--NE corner",NA,"yes-many sculptures, oscilla, and reliefs",NA,rectangular pool with apse and fountain,NA,NA,marble puteal,bronze candelabrum,truncated peristyle,yes,yes,other,NA,NA,east,west,NA,rectangular pool with apse and fountain,1 apsidal,?,center,0.53,NA,stone,platforms,0.48,NA,yes,NA,"yes, corridor SU",yes-sacellum in SE corner; aedicula in N portico,NA,no,NA,NA,NA,10,10,yes-sacellum in SE corner; aedicula in N portico,NA,1 (N),NA,1 (SE),NA,1 apsidal,center,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VI.16.26/27_house,"Sogliano NSc 1908:181, 189-90",NA,NA,M,truncated,NA,155,310,0.5,rectangle,NA,N-S,aligned,S,not visible,E,1 (irregular walkway W with 1 col and 1 L-shaped pil),NA,yes (modified),closed (irregular--open on N and W),NA,yes,84,NA,NA,NA,NA,NA,Doric,1,1 (N),NA,NA,NA,NA,1 (N),3,0,3,"11 (S, E, W colonnades)",stone or brick,NA,unfluted; rough plaster with red below,NA,unknown,NA,NA,42,3.38,8,NA,NA,NA,NA,NA,garden walls had black dado with birds and plants; main zone undecorated,"other-dado painted, rest undec.",cocciopesto?,table,Herm table in giallo antico near NE pilaster (A235) (Pomp Inv 3604),NE,NA,NA,NA,NA,NA,NA,"five dolia (3 round, 2 cylindrical), partly buried",NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rubble,NA,NA,4,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other-dado painted, rest undec.",NA,NA,NA,NA,NA,room k from atrium or corridor V from VI.16.27,N,E,no,NA,NA,"9 rooms, 1 stair 2 corridors, 2 storage areas",3,14,2015,2015,"2015, 2013",1 (N),1 (N),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,unknown--near NE pilaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"2 brick and plaster, 2 tufa","2 brick and plaster, 2 tufa","2 brick and plaster, 2 tufa","2 brick and plaster, 2 tufa"
VI.16.36_house,"Sogliano NSc 1908:360, 364-5; Boyce 59",NA,NA,F/G,truncated,NA,110,300,0.36666666666666664,NA,NA,E-W,NA,NA,E,NA,0,NA,NA,NA,NA,"yes, with planting groove (Sog NS 1908:364)",NA,NA,NA,NA,NA,NA,unknown,3,"3 (N, E, W)",NA,NA,NA,NA,"3 (N, E, W)",7,0,7,2 (S),brick and plaster; opus mixtum and plaster,NA,smooth and red? below,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,undecorated with high red dado,undecorated,cocciopesto,rectangular marble table with travertine support,unfluted travertine pillar with marble top found in front of lararium (A304),under aedicula,NA,NA,NA,NA,aedicula shrine; terracotta puteal,NA,two terracotta lamps in aedicula; amphora; 2 water boilers (caldaia),NA,yes,NA,NA,NA,NA,NA,NA,damaged by bombing,NA,NA,NA,NA,NA,NA,NA,square,NA,"3 (N, E, W)",NA,NA,NA,aedicula on S wall (229),NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,corridor A/C/L from entrance,NA,E,no,NA,NA,"3 rooms, 1 stair",1,4,no,no,yes,"3 (N, E, W)","3 (N, E, W)",1,NA,1,1,1,NA,1,1,S,S (no),NA,NA,NA,NA,NA,"aedicula on S wall (229, Gb V59)",1,NA,NA,NA,NA,1,NA,NA,NA,NA,garden-under aedicula A304,altar,NA,NA,NA,NA,NA,NA,NA,NA,yes,"2 tufa and plaster, 2 brick and plaster","2 tufa and plaster, 2 brick and plaster","2 tufa and plaster, 2 brick and plaster","2 tufa and plaster, 2 brick and plaster"
VII.01.25/47_House of Siricus south,NA,NA,1852-5,19,truncated,NA,150,1065,0.14084507042253522,rectangle,NA,N-S,perp,W,W,NA,2 Tuscan,NA,yes,closed,NA,"yes, height .6, topped with stone ledge",60,NA,NA,NA,NA,NA,Doric,2,"2 (N, W)",NA,NA,NA,NA,"2 (N, W)",5,0,5,NA,stone and plaster,no,unknown,NA,NA,NA,NA,38,2.66,7,NA,NA,NA,NA,NA,2nd style with frieze of trophies and arms (?)--PPM VI:304,2nd,NA,probably outdoor triclinium in wood under pergola (Soprano 308),no,NA,NA,NA,NA,probably outdoor triclinium in wood under pergola Soprano 308),"four columns in brick and plaster, painted green (PPM 6:303) supported a pergola in center; terracotta puteal",NA,NA,NA,no,"yes, partially",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"niche, arched, E (239)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd,NA,NA,NA,NA,NA,peristyle 31 or corridor 7 from atrium 3,W,W,1 true,NA,NA,2,NA,2,-2011,2011,yes,"2 (N, W)","2 (N, W)",1,NA,NA,1,1,NA,NA,1,E,NA,NA,E,NA,NA,NA,"niche, arched, E (239)",NA,NA,NA,1 (Sop 308),NA,NA,NA,NA,NA,"Fior Scav 12, Breton 317, Overbeck 286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,brick,brick,brick,brick
VII.01.25/47_House of Siricus north,NA,NA,NA,31,tru,NA,160,1065,15,NA,1.3,N-S,perp (not visible),E,E,NA,2 Tuscan,NA,no,NA,direct from atrium (0),no,NA,NA,NA,NA,NA,NA,"Doric, tufa",4,"N, S, E, W",2.4,3.5,W,N,NA,10,NA,10,NA,brick with plaster,no,reeded upper,smooth and yellow below,NA,NA,NA,41,2.82,6.9:1,3.5 (north),2.3,2.2999999999999998,0.4,5.6,4th style,4th,cocciopesto with white tesserae rosettes,NA,NA,NA,none reported,NA,nothing extant,NA,large niche for lararium in NW corner,travertine puteal E,?,truncated peristyle,yes,yes,perpendicular,?,?,east,north,"poorly preserved, see c. 1870 photo mislabled in Fotographi a Pompei as House of Meleager",nothing extant,none extant,NA,NA,NA,NA,?,?,?,NA,NA,NA,no,"yes-niche, perhaps lararium (doubtful) (60)",NA,no,2 rectangle,other 1,yes--house,3,3,"yes-niche, perhaps lararium (doubtful) (60)",NA,NA,1 (N),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
